Expense (Baht),Distance (kilometer),From ,To,ID
13,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
15,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
13,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
15,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
14,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
14,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
14,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
15,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
13,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
15,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
8,1.5,เซ็นทรัลบางนา,BTS อุดมสุข,12
8,2.9,BTS ปุณณวิถี,บ้าน (บางนา),12
8,7.1,บ้าน (บางนา),เมกาบางนา,12
8,7.1,เมกาบางนา,บ้าน,12
14,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
1,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
13,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
14,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
14,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
13,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
14,2.1,คอนโด aspire ngamwongwan,ม.เกษตร,12
1,2.2,ม.เกษตร,คอนโด aspire ngamwongwan,12
15,2.9,ม.เกษตร งามวงศ์วาน 3,เดอะมอลล์งามวงศ์วาน,9
15,2.9,ม.เกษตร งามวงศ์วาน 3,เดอะมอลล์งามวงศ์วาน,9
20,5.9,ม.เกษตร งามวงศ์วาน 3,โลตัสแคราย,9
20,5.9,ม.เกษตร งามวงศ์วาน 3,โลตัสแคราย,9
20,5.9,ม.เกษตร งามวงศ์วาน 3,โลตัสแคราย,9
15,2.9,ม.เกษตร งามวงศ์วาน 3,เดอะมอลล์งามวงศ์วาน,9
15,2.9,ม.เกษตร งามวงศ์วาน 3,เดอะมอลล์งามวงศ์วาน,9
14.00,3.80,Udomsuk,Central Bangna,10
11.00,3.70,BTS Udomsuk,Central Bangna,10
8.00,5.60,Home,Bus stop,19.00
7.00,2.50,Bus stop,Central Pinklao,19.00
8.00,8.00,Home,MRT station Bang Khun Non,19.00
15.00,3.80,Kasetsart University station,Major Ratchayothin,19.00
10.00,3.80,Major Ratchayothin,Kasetsart University ,19.00
15.00,3.80,Kasetsart University station,Major Ratchayothin,19.00
15,2.9,ม.เกษตร,เดอะมอลล์ งามวงศ์วาน,15
15,2.9,ม.เกษตร,เดอะมอลล์ งามวงศ์วาน,15
20,10.5,Rangsit,Laksi,18
15,4.4,Laksi,VibhavadiGate,18
20,10.5,Rangsit,Laksi,18
15,4.4,Laksi,VibhavadiGate,18
20,10.5,Rangsit,Laksi,18
15,4.4,Laksi,VibhavadiGate,18
18,14.9,Kasetsart,Rangsit,18
18,14.9,Rangsit,VibhavadiGate,18
18,14.9,Rangsit,VibhavadiGate,18
18,14.9,Kasetsart,Rangsit,18
20,10.5,Rangsit,Laksi,18
15,4.4,Laksi,VibhavadiGate,18
15.00,4.5,เดอะมอลงาม,ม.เกษตร,14
25,4,KU,The Mall Ngamwongwan,1
50,35,Mahidol University,Mo Chit,1
25,4,KU,The Mall Ngamwongwan,1
80,55,The Mall Ngamwongwan,Van stop nearby home,
80,55,The Mall Ngamwongwan,Van stop nearby home,