location,time,#waiting passengers (y),#departing passengers (y),#arriving passengers (y),#students from buildings,#students from faculties,#lecturers from faculties,faculty area,#stores,#banks,#offices,#dorms,#waiting seats,#routes,#main entrances
พหล,8:00-8:30,175,145,18,201.2016,2501.797352,228.83947,101695.5292,71.7057,1.363,42.66,2.868,36,3,2
พหล,8:30-9:00,126,110,22,0.89112,2501.797352,228.83947,101695.5292,71.7057,1.363,42.66,2.868,36,3,2
พหล,9:00-9:30,99,90,24,225.5868,2501.797352,228.83947,101695.5292,71.7057,1.363,42.66,2.868,36,3,2
พหล,9:30-10:00,79,74,26,401.7813,2501.797352,228.83947,101695.5292,71.7057,1.363,42.66,2.868,36,3,2
พหล,10:00-10:30,42,42,15,248.1395,2501.797352,228.83947,101695.5292,71.7057,1.363,42.66,2.868,36,3,2
สระน้ำ พหล,8:00-8:30,58,97,3,0,98,27,5270,35,2,33,2,8,2,1
สระน้ำ พหล,8:30-9:00,18,89,2,0,98,27,5270,35,2,33,2,8,2,1
สระน้ำ พหล,9:00-9:30,16,39,1,159,98,27,5270,35,2,33,2,8,2,1
สระน้ำ พหล,9:30-10:00,17,58,8,217,98,27,5270,35,2,33,2,8,2,1
สระน้ำ พหล,10:00-10:30,18,50,16,126,98,27,5270,35,2,33,2,8,2,1
งาม1,8:00-8:30,71,9,25,447.32,18090,816,265234.6525,159,6,69,3,13,4,2
งาม1,8:30-9:00,111,21,26,317.83,18090,816,265234.6525,159,6,69,3,13,4,2
งาม1,9:00-9:30,66,41,26,2837.62,18090,816,265234.6525,159,6,69,3,13,4,2
งาม1,9:30-10:00,34,19,33,885.59,18090,816,265234.6525,159,6,69,3,13,4,2
งาม1,10:00-10:30,42,15,8,575.56,18090,816,265234.6525,159,6,69,3,13,4,2
งาม3,8:00-8:30,18,7,2,777,14718,560,195262.2497,170,0,69,5,9,1,3
งาม3,8:30-9:00,8,1,4,340,14718,560,195262.2497,170,0,69,5,9,1,3
งาม3,9:00-9:30,0,1,3,2802,14718,560,195262.2497,170,0,69,5,9,1,3
งาม3,9:30-10:00,0,0,4,742,14718,560,195262.2497,170,0,69,5,9,1,3
งาม3,10:00-10:30,0,0,3,430,14718,560,195262.2497,170,0,69,5,9,1,3
วิภา,8:00-8:30,35,2,24,862,1892,358,93389.12,99,0,6,9,78,2,1
วิภา,8:30-9:00,81,54,23,163,1892,358,93389.12,99,0,6,9,78,2,1
วิภา,9:00-9:30,75,50,22,318,1892,358,93389.12,99,0,6,9,78,2,1
วิภา,9:30-10:00,32,18,12,1474,1892,358,93389.12,99,0,6,9,78,2,1
วิภา,10:00-10:30,23,10,9,244,1892,358,93389.12,99,0,6,9,78,2,1
ศร.1,8:00-8:30,5,7,20,4617,24503,1221,349200,280,5,92,7,0,2,2
ศร.1,8:30-9:00,1,4,15,1322,24503,1221,349200,280,5,92,7,0,2,2
ศร.1,9:00-9:30,1,7,14,4647,24503,1221,349200,280,5,92,7,0,2,2
ศร.1,9:30-10:00,4,5,5,5341,24503,1221,349200,280,5,92,7,0,2,2
ศร.1,10:00-10:30,0,3,6,1940,24503,1221,349200,280,5,92,7,0,2,2
หอสมุด,8:00-8:30,2,8,26,41,22621,1648,247210,244,1,6,75,71,3,0
หอสมุด,8:30-9:00,0,4,33,0,22621,1648,247210,244,1,6,75,71,3,0
หอสมุด,9:00-9:30,2,0,13,20,22621,1648,247210,244,1,6,75,71,3,0
หอสมุด,9:30-10:00,1,10,20,0,22621,1648,247210,244,1,6,75,71,3,0
หอสมุด,10:00-10:30,2,10,6,75,22621,1648,247210,244,1,6,75,71,3,0
บาร์ใหม่,8:00-8:30,3,6,2,4218.37982,23519,1470,319558.2243,207,3,71,8,10,1,3
บาร์ใหม่,8:30-9:00,0,0,3,1232.26505,23519,1470,319558.2243,207,3,71,8,10,1,3
บาร์ใหม่,9:00-9:30,1,2,4,3928.40932,23519,1470,319558.2243,207,3,71,8,10,1,3
บาร์ใหม่,9:30-10:00,0,0,5,4246.83225,23519,1470,319558.2243,207,3,71,8,10,1,3
บาร์ใหม่,10:00-10:30,2,0,0,1202.36152,23519,1470,319558.2243,207,3,71,8,10,1,3
อาคารจักร,8:00-8:30,0,0,14,4535,21017,1972,352377.6914,211,0,91,8,0,1,0
อาคารจักร,8:30-9:00,0,0,30,1069,21017,1972,352377.6914,211,0,91,8,0,1,0
อาคารจักร,9:00-9:30,3,3,24,2466,21017,1972,352377.6914,211,0,91,8,0,1,0
อาคารจักร,9:30-10:00,3,4,26,5142,21017,1972,352377.6914,211,0,91,8,0,1,0
อาคารจักร,10:00-10:30,2,1,9,2238,21017,1972,352377.6914,211,0,91,8,0,1,0
RDIPT,8:00-8:30,4,1,32,2737,18716,1801,316241.5301,91,0,55,1,10,1,0
RDIPT,8:30-9:00,0,3,19,834,18716,1801,316241.5301,91,0,55,1,10,1,0
RDIPT,9:00-9:30,10,13,22,1337,18716,1801,316241.5301,91,0,55,1,10,1,0
RDIPT,9:30-10:00,0,5,17,4066,18716,1801,316241.5301,91,0,55,1,10,1,0
RDIPT,10:00-10:30,7,3,17,1904,18716,1801,316241.5301,91,0,55,1,10,1,0