Country Name,Year,GDP_perCapita,population,urbanPopulation,PopulationAge15-64,PopulationAge65+,dieselFuelPrice,dieselFuelPrice_year-2,gasolinePrice,gasolinePrice_year-2,goodsImports,goodsExports,serviceImports,serviceExports,personalTransfers,schoolEnrollPrimary,airTransportDeparture,internationalTourism,mobileSubscriptionPer100People,broadbandSubscriptionPer100People,electricPowerConsumption,chargesOfIntellectualProperty,landArea
Thailand,1996,3043.981173,60130186.0,18309040.0,40831256.0,3409433.0,0.3,0.3,0.34,0.34,63896558223.0,54408384561.0,19585108741.0,17007424377.0,504100000.0,91.68782,91700.0,7244000.0,3.067722092,0.000138473,1380.055601,716767861.4,510890.0
Thailand,1997,2468.179209,60846582.0,18632440.0,41584934.0,3573806.0,0.3,0.3,0.34,0.34,55084321744.0,56655902127.0,17354511964.0,15763256735.0,577270000.0,92.22954,94900.0,7294000.0,3.622068697,0.000394509,1410.120292,803954544.1,510890.0
Thailand,1998,1845.831225,61585103.0,18965132.0,42347010.0,3745829.0,0.27,0.3,0.3,0.34,36514982915.0,52752885286.0,11998318524.0,13155630795.0,650440000.0,93.55635,93500.0,7843000.0,3.2101220969999997,0.000684937,1359.078672,513914898.1,510890.0
Thailand,1999,2033.2558219999999,62298571.0,19293244.0,43076588.0,3925432.0,0.27,0.3,0.3,0.34,42761773328.0,56775078012.0,13582799708.0,14635147646.0,723610000.0,97.2983,95400.0,8651000.0,3.755143918,0.001189483,1358.3457640000001,583377970.0,510890.0
Thailand,2000,2007.736363,62952642.0,19758316.0,43744276.0,4111832.0,0.35,0.27,0.39,0.3,56192998494.0,67893605164.0,15460261049.0,13868246342.0,796780000.0,97.61494,101591.0,9579000.0,4.854442805,0.001387932,1448.072664,709870581.5,510890.0
Thailand,2001,1893.2683100000002,63539196.0,20680738.0,44380040.0,4303443.0,0.35,0.27,0.39,0.3,54538841091.0,63082304852.0,14610426194.0,13024282632.0,869950000.0,97.08288,102414.0,10133000.0,11.88242923,0.002538591,1504.756214,823264729.7,510890.0
Thailand,2002,2096.1879989999998,64069087.0,21613066.0,44948092.0,4499856.0,0.32,0.35,0.36,0.39,57008216534.0,66052137107.0,16720409958.0,15390634773.0,943120000.0,98.6697,97750.0,10873000.0,27.23605223,0.010263118,1617.566362,1103909310.0,510890.0
Thailand,2003,2359.1164940000003,64549866.0,22554369.0,45462380.0,4696714.0,0.32,0.35,0.36,0.39,66908728391.0,78083315058.0,18168807216.0,15798334791.0,1040680000.0,98.56199000000001,93576.0,10082000.0,33.48869849,0.017987644,1713.6209079999999,1267697585.0,510890.0
Thailand,2004,2660.1227910000002,64995299.0,23508150.0,45948025.0,4888141.0,0.37,0.32,0.54,0.36,84193477426.0,94978718537.0,23077098855.0,19040150913.0,1040680000.0,101.42069000000001,128178.0,11737000.0,41.48845903,0.253518335,1827.2398440000002,1583825523.0,510890.0
Thailand,2005,2894.061896,65416189.0,24472850.0,46419338.0,5072458.0,0.37,0.32,0.54,0.36,106000000000.0,109000000000.0,26798210000.0,19925420000.0,1187020000.0,101.92334,124347.0,11567000.0,46.56376115,0.849170532,1914.8012429999999,1676210000.0,510890.0
Thailand,2006,3369.547815,65812536.0,25451682.0,46859625.0,5248866.0,0.65,0.37,0.7,0.54,114000000000.0,128000000000.0,32613590000.0,24611780000.0,1333360000.0,101.81307,126845.0,13822000.0,60.96934177,1.357717016,2005.256263,2046760000.0,510890.0
Thailand,2007,3973.019618,66182067.0,26439736.0,47269796.0,5420232.0,0.65,0.37,0.7,0.54,125000000000.0,151000000000.0,38071250000.0,30113900000.0,1634850000.0,101.37949,129703.0,14464000.0,80.04282187,1.954216691,2080.2463,2288640000.0,510890.0
Thailand,2008,4379.659877,66530984.0,27438708.0,47652308.0,5594028.0,0.64,0.65,0.87,0.7,158000000000.0,175000000000.0,46021320000.0,33124720000.0,1898410000.0,100.82844,125907.0,14584000.0,92.9449112,3.11553937,2105.4400760000003,2567130000.0,510890.0
Thailand,2009,4213.001541,66866839.0,28447159.0,48005331.0,5778493.0,0.64,0.65,0.87,0.7,121000000000.0,152000000000.0,34429650081.0,30204226733.0,2779030000.0,99.17333,123541.0,14150000.0,98.63231758,3.924632956,2101.14613,2247540000.0,510890.0
Thailand,2010,5076.342992,67195028.0,29469051.0,48326218.0,5978273.0,0.95,0.64,1.41,0.87,166000000000.0,193000000000.0,41333280110.0,34339814272.0,3157730000.0,96.85814,201306.0,15936000.0,106.7434632,4.839422048,2307.804679,3080540000.0,510890.0
Thailand,2011,5492.115427000001,67518382.0,30179366.0,48493777.0,6204845.0,0.95,0.64,1.41,0.87,209000000000.0,221000000000.0,46097401276.0,41544596361.0,3529320000.0,96.75588,227322.0,19230000.0,114.70801110000001,5.768798864,2283.748446,3121260000.0,510890.0
Thailand,2012,5860.58061,67835957.0,30828051.0,48669131.0,6446325.0,0.97,0.95,1.56,1.41,228000000000.0,228000000000.0,45671390157.0,46521371222.0,3754853857.0,97.02945,252368.8984,22354000.0,125.3199593,6.66165831,2443.615559,3609708798.0,510890.0
Thailand,2013,6168.264895,68144501.0,31477989.0,48838153.0,6705334.0,0.97,0.95,1.56,1.41,227000000000.0,227000000000.0,47402773422.0,54804079249.0,4746435918.0,96.91785,298450.0,26547000.0,137.72054269999998,7.61910151,2514.759041,4593395979.0,510890.0
Thailand,2014,5951.883702,68438730.0,32127193.0,48978994.0,6984422.0,0.9,0.97,1.29,1.56,209000000000.0,227000000000.0,45247281369.0,51940180537.0,4615464579.0,102.11088000000001,338053.9817,24810000.0,141.8728508,7.94871373,2538.79638,3970840948.0,510890.0
Thailand,2015,5840.046947999999,68714511.0,32772699.0,49078480.0,7285133.0,0.9,0.97,1.29,1.56,187000000000.0,213000000000.0,42518310373.0,58082146243.0,3865077596.0,100.65086,392664.0,29923000.0,149.81115119999998,9.065043045,2631.156511,4121492145.0,510890.0
Thailand,2016,5978.611454,68971331.0,33415230.0,49209859.0,7591024.0,0.68,0.9,0.71,1.29,178000000000.0,213000000000.0,43511450945.0,63786404939.0,4039789517.0,100.75753,413880.0,32530000.0,173.5054814,10.46667116,2704.712963,3979483476.0,510890.0
Thailand,2017,6578.188865,69209858.0,34051250.0,49283796.0,7915506.0,0.68,0.9,0.71,1.29,201000000000.0,234000000000.0,46668337798.0,70964140350.0,4659525718.0,99.62503000000001,448477.0,35592000.0,175.59649419999997,11.85959043,2778.2694149999998,4280771967.0,510890.0
Thailand,2018,7273.563206999999,69428524.0,34678853.0,49302665.0,8262614.0,0.68,0.68,0.71,0.71,229000000000.0,251000000000.0,55173619871.0,81331345419.0,5348370398.0,99.77436,475886.49600000004,38178000.0,180.18261189999998,13.23520776,2851.825867,5274352965.0,510890.0
