Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Kyrgyz Republic,KGZ,..,0.33,0.88,..,0.79,..,..,..,0.76,..,0.49,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Lao PDR,LAO,..,0.32,0.76,..,0.97,..,1.18,..,1.08,..,0.8,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Latvia,LVA,..,0.58,1.23,..,1.49,..,1.77,..,1.49,..,1.07,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Lebanon,LBN,..,0.31,0.76,..,0.77,..,0.94,..,0.73,..,0.47,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Lesotho,LSO,..,0.47,0.93,..,1.07,..,1.31,..,1.07,..,0.73,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Liberia,LBR,..,..,1.03,..,0.96,..,1.22,..,0.94,..,0.83,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Libya,LBY,..,0.16,0.12,..,0.13,..,0.1,..,..,..,0.11,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Liechtenstein,LIE,..,0.84,1.52,..,1.77,..,2.06,..,1.79,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Lithuania,LTU,..,0.55,1.22,..,1.42,..,1.7,..,1.5,..,1.05,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Luxembourg,LUX,..,0.67,1.33,..,1.36,..,1.64,..,1.39,..,1.03,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Madagascar,MDG,..,0.45,1.43,..,1.26,..,1.22,..,1.09,..,0.93,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Malawi,MWI,..,0.68,1.67,..,1.54,..,1.9,..,1.8,..,1.14,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Malaysia,MYS,..,0.16,0.53,..,0.56,..,0.59,..,0.65,..,0.44,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Maldives,MDV,..,..,..,..,0.83,..,1.09,..,0.98,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Mali,MLI,..,0.43,1.1,..,1.25,..,1.25,..,1.29,..,0.98,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Malta,MLT,..,0.44,1.56,..,1.66,..,1.75,..,1.7,..,1.22,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Marshall Islands,MHL,..,..,..,..,..,..,..,..,1.47,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Mauritania,MRT,..,0.4,1.06,..,0.99,..,1.27,..,1.35,..,1.09,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Mauritius,MUS,..,..,..,..,1.23,..,1.38,..,1.38,..,0.85,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Mexico,MEX,..,0.45,0.54,..,0.72,..,0.85,..,1.02,..,0.72,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Moldova,MDA,..,..,1.04,..,1.08,..,1.4,..,1.16,..,0.69,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Monaco,MCO,..,..,1.55,..,1.69,..,2.04,..,1.78,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Mongolia,MNG,..,0.38,1.42,..,1.04,..,1.22,..,0.96,..,0.67,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Montenegro,MNE,..,0.56,1.21,..,1.49,..,1.75,..,1.49,..,1.02,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Morocco,MAR,..,0.53,0.83,..,0.88,..,0.96,..,1.11,..,0.86,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Mozambique,MOZ,..,0.54,1.37,..,0.86,..,1.23,..,1.2,..,0.6,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Myanmar,MMR,..,0.12,0.52,..,0.8,..,..,..,0.93,..,0.51,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Namibia,NAM,..,0.44,0.88,..,1.09,..,1.31,..,1.12,..,0.74,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Nauru,NRU,..,..,..,..,1.57,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Nepal,NPL,..,0.37,0.82,..,0.91,..,1.09,..,1.04,..,0.68,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Netherlands,NLD,..,0.78,1.45,..,1.71,..,1.95,..,1.8,..,1.34,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,New Zealand,NZL,..,0.34,0.85,..,0.97,..,1.24,..,1.11,..,0.79,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Nicaragua,NIC,..,0.54,0.82,..,0.99,..,1.19,..,1.04,..,0.75,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Niger,NER,..,0.48,0.97,..,1.16,..,1.12,..,1.03,..,0.88,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Nigeria,NGA,..,0.27,1.13,..,0.77,..,1.09,..,0.84,..,0.64,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,North Macedonia,MKD,..,0.56,1.12,..,1.27,..,1.55,..,1.27,..,0.88,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Norway,NOR,..,1.15,1.63,..,2.01,..,2.35,..,2.11,..,1.63,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Oman,OMN,..,0.29,0.38,..,0.38,..,0.38,..,0.38,..,0.49,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Pakistan,PAK,..,0.27,0.77,..,0.92,..,1.2,..,1.01,..,0.7,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Panama,PAN,..,0.41,0.68,..,0.77,..,1.02,..,0.85,..,0.61,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Papua New Guinea,PNG,..,0.34,0.9,..,..,..,..,..,1.13,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Paraguay,PRY,..,0.34,0.96,..,1.01,..,1.31,..,1.16,..,0.74,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Peru,PER,..,0.54,0.99,..,1.1,..,1.41,..,1.17,..,0.88,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Philippines,PHL,..,0.28,0.81,..,0.84,..,1.01,..,0.82,..,0.58,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Poland,POL,..,0.65,1.4,..,1.5,..,1.73,..,1.39,..,1.04,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Portugal,PRT,..,0.54,1.47,..,1.58,..,1.89,..,1.64,..,1.3,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Qatar,QAT,..,..,..,..,0.19,..,0.27,..,0.41,..,0.38,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Romania,ROU,..,0.35,1.22,..,1.46,..,1.73,..,1.71,..,1.14,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Russian Federation,RUS,..,0.29,0.86,..,0.72,..,1,..,0.75,..,0.55,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Rwanda,RWA,..,0.84,1.37,..,1.62,..,1.73,..,1.41,..,1.13,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Samoa,WSM,..,..,..,..,1.06,..,..,..,..,..,0.87,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Saudi Arabia,SAU,..,0.1,0.09,..,0.067,..,0.067,..,0.07,..,0.12,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Senegal,SEN,..,0.52,1.26,..,1.34,..,1.53,..,1.51,..,0.97,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Serbia,SRB,..,0.56,1.14,..,1.48,..,1.8,..,1.66,..,1.21,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sierra Leone,SLE,..,..,0.91,..,0.94,..,1.05,..,1.04,..,1.08,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Singapore,SGP,..,0.38,0.9,..,1.04,..,1.26,..,1.16,..,0.77,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Slovak Republic,SVK,..,0.68,1.68,..,1.53,..,1.85,..,1.61,..,1.16,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Slovenia,SVN,..,0.66,1.26,..,1.62,..,1.77,..,1.68,..,1.21,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Somalia,SOM,..,..,1.15,..,..,..,..,..,..,..,1.18,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,South Africa,ZAF,..,0.5,0.95,..,1.14,..,1.42,..,1.17,..,0.9,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,South Sudan,SSD,..,..,1.25,..,1.07,..,1.97,..,1.98,..,0.28,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Spain,ESP,..,0.65,1.28,..,1.47,..,1.75,..,1.55,..,1.13,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sri Lanka,LKA,..,0.27,0.75,..,0.66,..,0.93,..,0.9,..,0.65,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Lucia,LCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sudan,SDN,..,0.24,0.45,..,0.43,..,0.42,..,0.55,..,0.61,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Suriname,SUR,..,0.41,..,..,1.12,..,1.52,..,1.34,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Sweden,SWE,..,0.8,1.52,..,1.82,..,2.16,..,1.82,..,1.42,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Switzerland,CHE,..,0.84,1.52,..,1.77,..,2.06,..,1.79,..,1.46,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Syrian Arab Republic,SYR,..,0.13,0.53,..,0.45,..,0.36,..,0.47,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tajikistan,TJK,..,0.55,1,..,0.91,..,..,..,1.18,..,0.69,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tanzania,TZA,..,0.73,1.3,..,1.19,..,1.27,..,1.2,..,0.8,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Thailand,THA,..,0.35,0.64,..,0.95,..,0.97,..,0.9,..,0.68,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Timor-Leste,TLS,..,..,1.35,..,0.9,..,1.43,..,1.6,..,0.8,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Togo,TGO,..,0.4,0.88,..,1.17,..,1.22,..,1.29,..,0.71,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tonga,TON,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Trinidad and Tobago,TTO,..,0.2,..,..,..,..,..,..,..,..,0.3,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tunisia,TUN,..,0.29,0.84,..,0.82,..,0.69,..,0.68,..,0.62,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Turkey,TUR,..,0.66,1.63,..,2.03,..,2.33,..,1.9,..,1.23,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Turkmenistan,TKM,..,0.02,0.2,..,0.2,..,0.2,..,0.2,..,0.27,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Uganda,UGA,..,0.75,1.22,..,1.11,..,1.35,..,1.11,..,0.79,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Ukraine,UKR,..,0.3,0.96,..,0.92,..,1.25,..,1.16,..,0.73,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,United Arab Emirates,ARE,..,0.26,0.62,..,0.71,..,0.64,..,0.64,..,0.52,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,United Kingdom,GBR,..,1.22,1.65,..,1.98,..,2.27,..,1.99,..,1.49,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,United States,USA,..,0.48,0.78,..,0.84,..,1.05,..,0.97,..,0.65,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Uruguay,URY,..,0.53,1.17,..,1.44,..,1.88,..,1.72,..,1.36,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Uzbekistan,UZB,..,0.09,0.75,..,0.83,..,0.87,..,1.93,..,1.28,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,1.2,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Venezuela, RB",VEN,..,0.06,0.01,..,0.011,..,0.011,..,0.008,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Vietnam,VNM,..,0.27,0.77,..,0.77,..,1.06,..,0.91,..,0.59,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,West Bank and Gaza,PSE,..,0.61,1.25,..,1.54,..,1.68,..,1.63,..,1.41,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,"Yemen, Rep.",YEM,..,0.06,0.17,..,0.23,..,0.47,..,0.7,..,0.76,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Zambia,ZMB,..,..,1.61,..,1.52,..,1.48,..,1.59,..,1.16,..,..,..
Pump price for diesel fuel (US$ per liter),EP.PMP.DESL.CD,Zimbabwe,ZWE,..,0.72,1.05,..,1.15,..,1.4,..,1.48,..,1.18,..,..,..
